,Dimension 1,Dimension 2,Cluster
0,-17.457125,1.799045,1
1,-23.218409,-6.960122,1
2,-16.706339,-6.4207277,1
3,9.835846,-9.951653,0
4,14.46728,9.603112,0
5,9.790197,1.5387214,0
6,-18.54315,-10.244679,1
7,1.5614371,17.010727,0
8,-15.286074,-5.039458,1
9,-18.065687,0.10343989,1
10,1.2489142,0.13427773,0
11,7.966525,13.594306,0
12,-5.4815493,-3.8032188,1
13,8.46643,-0.30366206,0
14,11.525525,-5.1641746,0
15,10.444287,-4.049237,0
16,9.143253,-0.9363876,0
17,6.426954,2.5382965,0
18,4.091278,11.265896,0
19,10.206749,2.321202,0
20,0.62118053,-6.2111635,1
21,-2.5132685,13.292174,0
22,7.8099556,12.6439,0
23,-16.75289,-11.979749,1
24,-17.296827,-6.2018137,1
25,8.610031,9.950673,0
26,1.5630945,15.732484,0
27,-14.513984,1.366774,1
28,7.108392,2.4136548,0
29,1.3110948,-11.756315,1
30,-5.1934524,8.6742935,0
31,-5.8373475,0.7319302,1
32,-0.25152203,14.59425,0
33,1.2703049,-0.37859872,0
34,9.028378,3.9493668,0
35,7.7091465,2.5290427,0
36,1.1947159,-11.706498,1
37,-9.146373,-5.913453,1
38,-10.723134,-9.130005,1
39,-5.517738,-6.273355,1
40,-21.25713,-7.305897,1
41,12.1133795,-8.643914,0
42,-3.0507874,9.660141,0
43,10.076348,-4.962625,0
44,1.1869496,13.517413,0
45,-15.884962,-12.154939,1
46,6.92651,6.958968,0
47,-15.46733,-3.5414631,1
48,-1.6603397,15.1203785,0
49,8.673622,-6.9265623,0
50,12.839761,8.393279,0
51,-0.71383053,-0.12272512,0
52,13.867479,-1.0308495,0
53,14.175878,4.617188,0
54,-4.6946316,-0.62844324,1
55,-13.906916,-6.0431266,1
56,2.0395129,-1.7295058,0
57,6.680462,-2.935618,0
58,17.031687,3.9536877,0
59,-9.385441,-0.6316388,1
60,-8.407526,-9.676814,1
61,9.556405,16.449291,0
62,-17.791264,-6.811271,1
63,0.6371702,15.727283,0
64,-14.451663,-2.2120345,1
65,-17.270542,-7.9051657,1
66,7.600077,-10.020676,0
67,4.299204,-0.058918197,0
68,-14.431577,-15.715951,1
69,8.374531,-10.221771,0
70,-1.7496024,11.334859,0
71,-6.8443627,1.4450138,1
72,-12.31723,-6.816539,1
73,-8.686566,3.3587809,1
74,14.866389,-0.3681252,0
75,-0.87936264,13.4744425,0
76,-15.418187,-6.3784876,1
77,2.529101,12.234723,0
78,11.129874,13.282082,0
79,-8.956466,-4.3745627,1
80,0.6716385,-12.592594,1
81,6.5088186,14.091367,0
82,13.916852,2.4098823,0
83,-2.0207071,3.9010603,0
84,11.224876,1.8144017,0
85,13.521939,3.439859,0
86,13.37654,3.264492,0
87,3.7303233,9.819361,0
88,5.2595844,12.204569,0
89,3.677788,12.142352,0
90,1.6793754,9.220855,0
91,-20.20983,-3.7176585,1
92,-20.668707,-9.459701,1
93,10.2166605,8.854985,0
94,1.2317185,11.561996,0
95,-3.9100327,-0.39435744,1
96,-14.829149,-6.071883,1
97,-18.669867,-9.472685,1
98,5.800122,3.998489,0
99,14.845311,0.6133918,0
100,14.457886,0.4750309,0
101,14.201004,5.8082795,0
102,1.6821122,13.317347,0
103,-9.29913,8.621936,1
104,-20.588188,-9.980569,1
105,6.949671,-0.3031489,0
106,-2.7613707,0.47346115,0
107,2.0337026,-2.8660076,0
108,-14.628803,-7.8292556,1
109,2.7013948,-9.709787,1
110,-7.9405694,-9.992722,1
111,-5.7837315,-4.4758215,1
112,3.6736095,-5.7721887,0
113,-9.064413,-11.375769,1
114,-12.878588,-3.966611,1
115,2.7356553,1.1351285,0
116,9.080424,-5.539811,0
117,15.052805,8.149714,0
118,-13.741872,-11.176039,1
119,-15.472121,-4.7513857,1
120,-6.428467,-1.1358122,1
121,-18.523375,-11.61936,1
122,0.41929045,-7.7251487,1
123,-18.662197,-1.4155695,1
124,-1.8913448,6.9641643,0
125,10.353798,13.497452,0
126,-16.436806,-15.507163,1
127,-14.06613,-7.1937,1
128,11.151256,4.00935,0
129,5.5591497,10.044459,0
130,2.3234499,-3.4215958,0
131,-0.5008503,-2.5065794,0
132,15.074201,5.796633,0
133,16.539612,0.85788,0
134,9.876298,9.936794,0
135,8.466479,13.570288,0
136,-15.497533,-0.3291924,1
137,-13.657507,-4.547327,1
138,2.0908191,-10.411558,1
139,8.411383,-8.564421,0
140,4.7930145,2.7561517,0
141,-0.05956244,4.112646,0
142,10.605511,0.4366388,0
143,-10.040499,-8.03157,1
144,1.3416553,-4.310206,0
145,8.349948,5.8323483,0
146,-21.950882,-6.793734,1
147,10.134216,4.797261,0
148,12.728879,1.9866393,0
149,2.150825,15.435326,0
150,0.9305051,2.6243525,0
151,-1.2890401,-5.1069245,1
152,-8.569078,-15.064712,1
153,-8.628375,-6.4337215,1
154,-11.857194,-2.8756683,1
155,-23.052502,-8.155978,1
156,-3.6156447,-1.1829809,1
157,-8.162481,2.9147522,1
